JobID,JobCode,Name,Description,DefaultOrder
14,MM3,Marketing Manager 3,"Creates, establishes, and manages the strategy for a significant portion of  the company's product offering.  Focuses on key products or next generation  products and manages overall product marketing strategy.  Typically manages  over 25 employees from multiple disciplines.",14
15,T1,Technician 1,"Under close supervision, assists in routine destructive testing procedures on software routines or systems. Entry level.  Assumes no previous experience.",15
16,T2,Technician 2,"Using standard testing procedures and tools and under supervision,  evaluates new or unique software routines to ensure its validity and  accuracy.  Thoroughly documents procedures used and results.  Typical  minimum requirements are up to two years experience with computers.",16
17,T3,Technician 3,"Using standard testing procedures and tools, evaluates new or unique  software to ensure its validity and accuracy.  May be responsible for  ensuring internal consistency of complete software program. May also devise  unique tests.  Thoroughly documents procedures used and results.  Typical  minimum requirements are an associate's degree and two to four years  experience.",17
18,T4,Technician 4,"Using standard and nonstandard testing procedures and tools, evaluates new  or unique software to ensure its validity and accuracy. Devises unique  tests for new products, works closely with software engineers to ensure  adequate testing. Thoroughly documents procedures used and results.  May  supervise other technicians. Typical minimum requirements are an  associate's degree and four to six years experience.",18
19,T5,Technician 5,"Oversees the testing and debugging of software or software  routines.  Responsible for the validity and accuracy of all  software.  Ensures that testers thoroughly document their results,  communicates results to software programmers.  Suggests ways to improve  accuracy and efficiency of software product. Trains and oversees other  technicians. May do only complex testing of strategically important  products. Typical minimum requirements are an associate's degree and six to  eight years experience.",19
20,SW1,Engineer 1,"Participates in development, testing and documentation of software programs. Performs design and analysis tasks as a project team member.  Typical minimum requirements are a Bachelor's degree in a scientific or technical field or the equivalent and up to two years of experience.",20
21,SW2,Engineer 2,"Develops, tests, and documents software programs of a more difficult nature. Assists in the development of assignments and schedules.  Typical minimum requirements are a Bachelor's degree in a scientific or technical field and two to four years of experience or a Master's degree and up to two years of experience.",21
22,SW3,Engineer 3,"Develops project plans, functional specifications and schedules.  Designs and performs analysis on complex programs and systems.  Assists in determining product needs and enhancements.  Typical minimum requirements are a Bachelor's degree in Engineering, Computer Science or a related technical field and four to six years of experience or a Master's degree and two to four years of experience.",22
23,SW4,Engineer 4,"Acts as project engineer for complex programs in design, development and analysis.  Proposes new ideas and products and guides their implementation.  Provides technical direction in area of specialty on major products.  Typical minimum requirements are a Bachelor's degree in engineering, Computer Science or a related technical field and six or more years of experience or a Master's degree and four to six years of experience.",23
24,SW5,Engineer 5,"Provides technical direction and advice to management in long-range planning for new areas of technological research.  Designs, researches and develops new systems while providing guidance to support staff. Typical minimum requirements are a Bachelor's degree in engineering, Computer Science or a related technical field and ten or more years of experience or a Master's degree and six years or more of experience.",24
25,SW6,Engineering Manager 1,Supervises the design and development of software products or systems and  related schedules and costs. Participates in developing management policies  for software group.  Typically manages up to 10 employees performing  similar tasks.  First level of management with human resource  responsibilities.,25
26,SW7,Engineering Manager 2,"Establishes work environment for development or implementation of complete products and programs.  Develops long range plans, schedules and cost objectives.  Typically manages 10 to 25 employees, including first level managers. (May be from multiple disciplines.)",26
27,SW8,Engineering Manager 3,"Develops long range strategy for a product family including positioning, marketing and pricing.  Manages engineering product group to ensure timely delivery of high-quality products.  Typically manages over 25 employees from multiple disciplines.",27
